censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0155,-14.1903,0.7290322580645161,0.0236,30.5111,0.7033898305084746,0.9639,0.9446,0.018,0.0507,180.7584,0.7297830374753451,EE1
0.1,0.18,0.0286,-2.186,0.48951048951048953,0.0405,38.6456,0.4641975308641975,0.9143,0.8749,0.0292,0.0855,192.3573,0.4257309941520468,EE2
0.1,0.27,0.0402,-6.1231,0.4129353233830846,0.0565,31.9015,0.37168141592920356,0.8588,0.7991,0.0429,0.1173,173.7457,0.32651321398124467,EE3
0.1,0.36,0.0537,-3.7567,0.3817504655493483,0.0747,33.6828,0.3360107095046854,0.7877,0.7107,0.0558,0.1506,169.6188,0.2742363877822045,EE4
0.3,0.07,0.0172,-0.46,0.7383720930232558,0.0377,118.4321,0.7851458885941646,0.9669,0.9498,0.0172,0.0493,186.0517,0.7748478701825557,EE1
0.3,0.14,0.0294,1.8762,0.5374149659863946,0.0619,114.8434,0.4959612277867529,0.9259,0.8913,0.0288,0.0813,182.0366,0.4944649446494465,EE2
0.3,0.21,0.0428,0.4906,0.43691588785046737,0.0886,107.981,0.38939051918735895,0.8741,0.82,0.0426,0.1122,163.1832,0.3734402852049911,EE3
0.3,0.28,0.0566,2.7568,0.4081272084805654,0.1139,106.8462,0.34152765583845474,0.8137,0.7439,0.0551,0.1433,160.3427,0.32100488485694345,EE4
0.5,0.05,0.0181,-0.2109,0.867403314917127,0.057,213.9769,0.9385964912280701,0.9724,0.958,0.0181,0.047,158.9163,0.9297872340425533,EE1
0.5,0.1,0.0314,13.2122,0.5509554140127388,0.0907,227.3835,0.5788313120176405,0.9371,0.909,0.0277,0.0742,168.0021,0.5633423180592991,EE2
0.5,0.15,0.047,9.8297,0.5148936170212766,0.1342,213.5036,0.485096870342772,0.8944,0.8489,0.0428,0.1068,149.5836,0.4681647940074906,EE3
0.5,0.2,0.0616,7.5158,0.46266233766233766,0.1744,204.5961,0.4151376146788991,0.8431,0.7813,0.0573,0.1367,138.6995,0.4059985369422093,EE4
0.7,0.03,0.0224,-5.4661,1.5401785714285716,0.1175,394.9437,1.4714893617021276,0.9781,0.9677,0.0237,0.0467,96.58,1.4025695931477518,EE1
0.7,0.06,0.0369,16.5269,0.8292682926829268,0.1916,504.1737,0.8945720250521921,0.9516,0.9301,0.0317,0.0726,128.8777,0.8292011019283746,EE2
0.7,0.09,0.0535,21.7602,0.6691588785046729,0.2769,529.9066,0.689779703864211,0.9199,0.8849,0.044,0.1015,131.022,0.644334975369458,EE3
0.7,0.12,0.0692,22.8525,0.6054913294797688,0.3878,588.6335,0.6353790613718412,0.8878,0.8412,0.0563,0.1297,130.2937,0.5828835774865073,EE4
