censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0131,1.2441,0.3740458015267175,0.0147,13.2982,0.3945578231292517,0.9639,0.9414,0.013,0.0231,78.1009,0.45021645021645024,EE1
0.1,0.18,0.0238,-7.6653,0.35714285714285715,0.0262,1.4738,0.3511450381679389,0.9143,0.8714,0.0258,0.0399,54.412,0.3408521303258145,EE2
0.1,0.27,0.0342,-6.56,0.347953216374269,0.0376,2.6289,0.34308510638297873,0.8588,0.7986,0.0366,0.0562,53.4949,0.3220640569395018,EE3
0.1,0.36,0.0467,-6.2055,0.3533190578158458,0.0512,2.8899,0.345703125,0.7877,0.709,0.0497,0.075,50.8146,0.30933333333333335,EE4
0.3,0.07,0.0142,7.6367,0.4788732394366197,0.0188,42.9692,0.5478723404255319,0.9669,0.9459,0.0132,0.023,74.4487,0.5565217391304348,EE1
0.3,0.14,0.025,-0.3155,0.436,0.0324,29.0724,0.44135802469135804,0.9259,0.8869,0.0251,0.0392,56.1503,0.44387755102040816,EE2
0.3,0.21,0.0366,1.1524,0.40983606557377045,0.0474,30.9188,0.3966244725738397,0.8741,0.8181,0.0362,0.056,54.5824,0.3892857142857143,EE3
0.3,0.28,0.0489,-0.3385,0.36809815950920244,0.0632,28.7665,0.34335443037974683,0.8137,0.7398,0.0491,0.0735,49.9049,0.3319727891156463,EE4
0.5,0.05,0.0156,6.4917,0.858974358974359,0.0255,74.05,0.8705882352941178,0.9724,0.9546,0.0146,0.0231,58.0236,0.8701298701298702,EE1
0.5,0.1,0.0267,8.4386,0.4756554307116104,0.0426,73.3332,0.5140845070422535,0.9371,0.9026,0.0246,0.0385,56.7525,0.49870129870129865,EE2
0.5,0.15,0.0397,9.566,0.473551637279597,0.0628,73.2827,0.4649681528662421,0.8944,0.8441,0.0363,0.0559,54.1796,0.46153846153846156,EE3
0.5,0.2,0.0529,11.249,0.4139886578449905,0.0846,77.878,0.38534278959810875,0.8431,0.7771,0.0476,0.0736,54.8549,0.391304347826087,EE4
0.7,0.03,0.0185,29.37,0.9675675675675676,0.046,221.5255,1.126086956521739,0.9781,0.9641,0.0143,0.0246,71.8626,1.0203252032520325,EE1
0.7,0.06,0.031,34.9847,0.6161290322580645,0.0763,232.1418,0.710353866317169,0.9516,0.9239,0.023,0.04,74.1685,0.6499999999999999,EE2
0.7,0.09,0.0452,21.5772,0.6482300884955753,0.1111,198.8727,0.6696669666966696,0.9199,0.8781,0.0372,0.0573,54.1424,0.6404886561954626,EE3
0.7,0.12,0.058,33.5484,0.5103448275862069,0.1498,244.9747,0.520694259012016,0.8878,0.8355,0.0434,0.0732,68.696,0.4986338797814207,EE4
