censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0096,-13.0651,0.6979166666666667,0.0239,117.1278,0.5941422594142259,0.9639,0.9405,0.011,0.0616,459.6886,0.6217532467532467,EE1
0.1,0.18,0.0186,-14.9362,0.6075268817204301,0.0436,100.0216,0.40825688073394495,0.9143,0.8694,0.0218,0.1105,406.2976,0.3918552036199095,EE2
0.1,0.27,0.0273,-12.9821,0.5714285714285714,0.0608,93.624,0.3651315789473684,0.8588,0.7982,0.0314,0.1519,383.5582,0.3238973008558262,EE3
0.1,0.36,0.0372,-13.1485,0.5806451612903226,0.0826,92.7397,0.3595641646489104,0.7877,0.7153,0.0428,0.2045,377.3836,0.3237163814180929,EE4
0.3,0.07,0.0107,-3.0014,0.7943925233644861,0.0431,288.779,0.728538283062645,0.9669,0.9446,0.0111,0.059,432.1359,0.7271186440677967,EE1
0.3,0.14,0.0197,-3.0593,0.5888324873096447,0.0749,268.05,0.4459279038718291,0.9259,0.8851,0.0203,0.1015,399.2026,0.4453201970443349,EE2
0.3,0.21,0.028,-6.7027,0.575,0.109,262.4895,0.3669724770642202,0.8741,0.818,0.0301,0.1431,376.0139,0.36268343815513626,EE3
0.3,0.28,0.0391,-6.4313,0.5754475703324807,0.1435,242.9857,0.3623693379790941,0.8137,0.7447,0.0418,0.189,351.7341,0.353968253968254,EE4
0.5,0.05,0.0115,6.1575,0.808695652173913,0.0672,519.8983,0.8526785714285714,0.9724,0.9533,0.0108,0.0544,401.3851,0.8455882352941176,EE1
0.5,0.1,0.021,7.5082,0.519047619047619,0.1157,492.0027,0.4140017286084702,0.9371,0.9017,0.0195,0.0921,371.3681,0.41150922909880566,EE2
0.5,0.15,0.0309,7.7128,0.5598705501618123,0.1697,491.3753,0.41013553329404834,0.8944,0.8439,0.0287,0.1316,358.5966,0.40577507598784196,EE3
0.5,0.2,0.0409,3.6876,0.5672371638141809,0.2251,470.5213,0.38960462016881386,0.8431,0.7806,0.0395,0.1704,331.9528,0.38791079812206575,EE4
0.7,0.03,0.0138,25.3015,0.8405797101449275,0.1307,1087.342,1.0504973221117062,0.9781,0.9625,0.011,0.0485,340.3746,1.0288659793814432,EE1
0.7,0.06,0.0241,25.8467,0.6846473029045643,0.2409,1158.9824,0.6849315068493151,0.9516,0.9217,0.0191,0.0839,338.228,0.6555423122765196,EE2
0.7,0.09,0.0353,25.6029,0.6798866855524079,0.3507,1148.7757,0.626746506986028,0.9199,0.8778,0.0281,0.1172,317.369,0.6220136518771332,EE3
0.7,0.12,0.046,32.9212,0.6282608695652173,0.4851,1302.5399,0.533910533910534,0.8878,0.8352,0.0346,0.1492,331.425,0.5274798927613942,EE4
