censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0163,-8.8007,0.6257668711656442,0.0178,,0.6573033707865169,0.9639,0.9446,0.0178,0.0237,33.1248,0.6582278481012658,EE1
0.1,0.18,0.0295,0.886,0.4067796610169492,0.0313,7.319,0.4153354632587859,0.9143,0.8749,0.0292,0.0412,41.0002,0.40048543689320387,EE2
0.1,0.27,0.0415,-3.201,0.3397590361445783,0.044,2.7934,0.3431818181818182,0.8588,0.7992,0.0428,0.0569,32.7902,0.3216168717047452,EE3
0.1,0.36,0.0554,-0.2553,0.3158844765342961,0.0588,5.8833,0.31462585034013607,0.7877,0.7107,0.0555,0.0745,34.2315,0.287248322147651,EE4
0.3,0.07,0.0176,2.2392,0.6420454545454545,0.0213,23.5058,0.6854460093896714,0.9669,0.9497,0.0172,0.0243,41.3465,0.691358024691358,EE1
0.3,0.14,0.0305,6.2654,0.4754098360655738,0.0356,24.0287,0.4775280898876405,0.9259,0.8913,0.0287,0.0407,41.7121,0.47420147420147424,EE2
0.3,0.21,0.044,3.9947,0.3772727272727273,0.0512,21.0119,0.37304687499999994,0.8741,0.8201,0.0423,0.0574,35.5313,0.36411149825783967,EE3
0.3,0.28,0.058,5.4539,0.3482758620689655,0.0674,22.5224,0.3412462908011869,0.8137,0.744,0.055,0.0745,35.4132,0.32751677852349,EE4
0.5,0.05,0.0189,4.607,0.7619047619047619,0.0266,47.3842,0.8533834586466167,0.9724,0.958,0.0181,0.0245,35.7823,0.8081632653061225,EE1
0.5,0.1,0.0322,15.9457,0.5217391304347826,0.043,54.8696,0.5511627906976745,0.9371,0.909,0.0277,0.0402,44.9717,0.5298507462686567,EE2
0.5,0.15,0.0478,11.9642,0.4707112970711297,0.0635,48.6905,0.47401574803149604,0.8944,0.849,0.0427,0.0587,37.5732,0.46166950596252126,EE3
0.5,0.2,0.0628,10.0351,0.4251592356687899,0.0838,46.8999,0.4176610978520287,0.8431,0.7812,0.057,0.0763,33.7869,0.40891218872870244,EE4
0.7,0.03,0.023,-0.5708,1.4304347826086956,0.0456,97.6195,1.432017543859649,0.9781,0.9677,0.0231,0.0274,18.7486,1.3941605839416058,EE1
0.7,0.06,0.0378,18.823,0.8174603174603174,0.0729,128.9632,0.849108367626886,0.9516,0.93,0.0318,0.0441,38.3382,0.8095238095238095,EE2
0.7,0.09,0.0538,23.6783,0.62453531598513,0.104,138.9695,0.6548076923076923,0.9199,0.885,0.0435,0.0621,42.5839,0.6183574879227053,EE3
0.7,0.12,0.0702,24.7037,0.5726495726495726,0.1408,149.9917,0.6051136363636364,0.8878,0.8412,0.0563,0.0804,42.7732,0.568407960199005,EE4
