censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.011,-1.1137,0.5272727272727272,0.0194,74.0132,0.5360824742268041,0.9458,0.9289,0.0111,0.0465,317.1503,0.5612903225806452,EE1
0.1,0.18,0.0199,3.0743,0.4522613065326633,0.033,71.0914,0.41818181818181815,0.8822,0.8496,0.0193,0.078,304.1251,0.3987179487179487,EE2
0.1,0.27,0.0279,-0.6366,0.41218637992831536,0.045,60.7194,0.34222222222222226,0.813,0.7677,0.028,0.1052,275.3702,0.314638783269962,EE3
0.1,0.36,0.0359,-0.6638,0.3844011142061281,0.0569,57.4114,0.3233743409490334,0.7378,0.683,0.0361,0.131,262.3147,0.28931297709923665,EE4
0.3,0.07,0.0115,7.4814,0.5130434782608696,0.0326,205.6947,0.6288343558282209,0.9528,0.9379,0.0107,0.0444,317.1404,0.6373873873873873,EE1
0.3,0.14,0.021,11.1828,0.4285714285714285,0.0553,193.2195,0.4231464737793852,0.897,0.8679,0.0188,0.0735,290.2021,0.41904761904761906,EE2
0.3,0.21,0.029,5.0077,0.4103448275862069,0.0755,173.1089,0.35496688741721855,0.8348,0.7927,0.0276,0.0984,255.9205,0.350609756097561,EE3
0.3,0.28,0.0381,6.0458,0.3963254593175853,0.0976,171.9574,0.33094262295081966,0.7677,0.7153,0.0359,0.1253,249.037,0.3240223463687151,EE4
0.5,0.05,0.0124,24.3527,0.5645161290322581,0.0499,399.8923,0.8356713426853708,0.961,0.9484,0.01,0.041,311.2497,0.8121951219512196,EE1
0.5,0.1,0.0216,17.3336,0.5879629629629629,0.082,345.4112,0.6036585365853658,0.9179,0.8936,0.0184,0.0667,262.3278,0.5952023988005998,EE2
0.5,0.15,0.0307,23.4778,0.47882736156351785,0.1144,360.2501,0.47552447552447547,0.8684,0.8336,0.0249,0.0907,264.9436,0.46857772877618525,EE3
0.5,0.2,0.0389,13.2868,0.44473007712082263,0.1452,322.4938,0.4028925619834711,0.8145,0.7696,0.0344,0.1134,229.9945,0.4038800705467372,EE4
0.7,0.03,0.0136,47.1099,0.6470588235294118,0.0921,893.7344,1.0586319218241043,0.9704,0.961,0.0093,0.0364,292.7256,0.9752747252747251,EE1
0.7,0.06,0.0234,46.0534,0.5512820512820513,0.1559,873.5709,0.7196921103271327,0.9395,0.9205,0.016,0.0596,272.3913,0.6778523489932886,EE2
0.7,0.09,0.0354,39.0228,0.7570621468926554,0.2484,876.126,0.7367149758454106,0.9011,0.8722,0.0254,0.0863,239.1787,0.7207415990730012,EE3
0.7,0.12,0.0441,41.1892,0.5215419501133787,0.3512,1023.9117,0.553246013667426,0.862,0.8254,0.0312,0.1056,237.8909,0.53125,EE4
