censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0109,0.4943,0.5229357798165137,0.0131,21.3692,0.5725190839694656,0.9639,0.9405,0.0108,0.0242,123.9652,0.5702479338842975,EE1
0.1,0.18,0.0207,-4.9355,0.39613526570048313,0.0244,12.3961,0.38524590163934425,0.9143,0.8693,0.0218,0.0437,101.0828,0.37986270022883295,EE2
0.1,0.27,0.0291,-6.9781,0.3711340206185567,0.0343,9.8013,0.35568513119533535,0.8588,0.7982,0.0313,0.0603,92.8707,0.32338308457711445,EE3
0.1,0.36,0.0401,-5.8861,0.3865336658354115,0.0473,10.8468,0.36363636363636365,0.7877,0.7153,0.0427,0.0818,91.7083,0.3276283618581907,EE4
0.3,0.07,0.012,7.8505,0.6416666666666667,0.0189,70.8765,0.7195767195767195,0.9669,0.9445,0.0111,0.0243,119.5927,0.6954732510288065,EE1
0.3,0.14,0.0213,4.9554,0.44131455399061037,0.0325,60.2626,0.44,0.9259,0.8852,0.0203,0.0413,103.307,0.4358353510895883,EE2
0.3,0.21,0.0307,2.2982,0.38762214983713356,0.0472,57.332,0.3538135593220339,0.8741,0.818,0.03,0.0584,94.6073,0.3527397260273973,EE3
0.3,0.28,0.0417,0.0093,0.4244604316546763,0.0634,52.0172,0.37854889589905366,0.8137,0.7447,0.0417,0.0777,86.3215,0.3655083655083655,EE4
0.5,0.05,0.0124,14.8985,0.6451612903225806,0.0261,141.3585,0.8390804597701149,0.9724,0.9533,0.0108,0.0228,110.5452,0.7850877192982455,EE1
0.5,0.1,0.0224,14.6367,0.39732142857142855,0.0448,129.6223,0.39732142857142855,0.9371,0.9018,0.0195,0.039,99.5653,0.3923076923076923,EE2
0.5,0.15,0.0332,15.3975,0.4307228915662651,0.0662,130.4036,0.4033232628398792,0.8944,0.8439,0.0287,0.0563,95.9474,0.40319715808170514,EE3
0.5,0.2,0.0435,10.4121,0.4413793103448276,0.0878,122.8624,0.38724373576309795,0.8431,0.7805,0.0394,0.0731,85.6583,0.39398084815321477,EE4
0.7,0.03,0.0143,29.9281,0.7552447552447553,0.0469,327.7923,0.9936034115138593,0.9781,0.9625,0.011,0.0222,102.6918,0.8963963963963965,EE1
0.7,0.06,0.0255,33.7982,0.5725490196078432,0.084,340.0975,0.6452380952380952,0.9516,0.9217,0.0191,0.0384,101.3123,0.6067708333333334,EE2
0.7,0.09,0.0367,31.4887,0.6457765667574931,0.1211,333.4212,0.6383154417836499,0.9199,0.8778,0.0279,0.0542,93.8283,0.6199261992619925,EE3
0.7,0.12,0.0476,38.1984,0.542016806722689,0.1639,376.2967,0.5210494203782795,0.8878,0.8352,0.0344,0.0693,101.3205,0.5180375180375181,EE4
